Date,Latitude,Longitude,Depth_km,Magnitude_ML,Location,Nearest_Fault,Fault_Length_km,Fault_Width_m,Fault_Depth_m,Fault_Type,Length_km,Seismogenic_Depth_km,Slip_Rate_mm_per_yr,Max_Surface_Slip_m,Recurrence_Interval_yr,Last_Event_Year,Last_Event_Mw,Elapsed_Time_yr,Slip_Deficit_m,Normalized_Slip_m_per_km,Moment_Potential_Nm,Mw_Potential
2025-04-23,40.8325,28.4328,7.06,2.5,Marmara Denizi - [20.03 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8581,28.3906,7.17,2.6,Marmara Denizi - [19.10 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8467,28.2839,7.02,2.5,Marmara Denizi - [24.45 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8461,28.4081,6.99,2.7,Marmara Denizi - [19.73 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8581,28.32,7.01,2,Marmara Denizi - [22.36 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8592,28.4131,7.01,2.6,Marmara Denizi - [18.23 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8511,28.4242,6.92,2.5,Marmara Denizi - [18.57 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8567,28.2739,7,2.6,Marmara Denizi - [23.34 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,16,2,3,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8411,28.3222,7,2.7,Marmara Denizi - [23.72 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8214,28.3014,7,2.2,Marmara Denizi - [26.53 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu Ulubat Fayı,16,2,3,strike-slip + minor vertical,50,15,3.5,3,650,1855,7,170,0.595,0.06,1.34E+19,2.051132989
2025-04-23,40.8022,28.2817,7,3,Marmara Denizi - [29.23 km] Büyükçekmece (İstanbul),Manyas Fay Zonu,15,2,2,normal (listric),38,12,0.8,0.5,600,1964,6.8,61,0.0488,0.01315789474,6.68E+17,1.183003946
2025-04-23,40.8369,28.17,6.81,2.8,Marmara Denizi - [22.89 km] Marmaraereğlisi (Tekirdağ),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.7658,28.3333,7,2.7,Marmara Denizi - [30.42 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu Ulubat Fayı,16,2,3,strike-slip + minor vertical,50,15,3.5,3,650,1855,7,170,0.595,0.06,1.34E+19,2.051132989
2025-04-23,40.86,28.5039,7.69,2.2,Marmara Denizi - [15.16 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8567,28.3939,6.85,2,Marmara Denizi - [19.12 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8336,28.3531,8.28,2.7,Marmara Denizi - [22.99 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8333,28.3142,7.02,4.9,Marmara Denizi - [24.82 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu Ulubat Fayı,16,2,3,strike-slip + minor vertical,50,15,3.5,3,650,1855,7,170,0.595,0.06,1.34E+19,2.051132989
2025-04-23,40.8369,28.3844,8.17,3.3,Marmara Denizi - [21.44 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.9231,28.4539,7,3.1,Marmara Denizi - [10.39 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,30,2.7,4,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8403,28.3667,6.97,2,Marmara Denizi - [21.78 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8758,28.2567,7.68,2.1,Marmara Denizi - [21.30 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,10,2,3,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8586,28.3356,14.88,3.9,Marmara Denizi - [21.50 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8475,28.2733,6.99,2.4,Marmara Denizi - [24.36 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8772,28.3861,7.36,2.1,Marmara Denizi - [17.40 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8397,28.4244,7,2,Marmara Denizi - [19.65 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8575,28.3461,11.64,3.5,Marmara Denizi - [21.07 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8461,28.3517,7,2.6,Marmara Denizi - [21.86 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8353,28.2669,7.01,2.4,Marmara Denizi - [25.73 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8425,28.3367,7.04,2.8,Marmara Denizi - [22.89 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8453,28.3697,7,2.9,Marmara Denizi - [21.17 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8389,28.3,7.42,2.3,Marmara Denizi - [25.00 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ulubat Fayı,16,2,3,strike-slip + minor vertical,50,15,3.5,3,650,1855,7,170,0.595,0.06,1.34E+19,2.051132989
2025-04-23,40.8706,28.3706,7,2.4,Marmara Denizi - [18.72 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8594,28.3281,7.17,2.6,Marmara Denizi - [21.81 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8972,28.2275,6.33,2.3,Marmara Denizi - [19.22 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,10,2,3,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8511,28.31,7.02,3.4,Marmara Denizi - [23.47 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8458,28.3936,7.98,3.6,Marmara Denizi - [20.22 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.9067,28.46,6.41,2,Marmara Denizi - [11.74 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.845,28.3911,7.18,3.1,Marmara Denizi - [20.39 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.9017,28.4581,7.03,2.6,Marmara Denizi - [12.30 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.855,28.3919,10.89,2.9,Marmara Denizi - [19.35 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8719,28.3428,7.1,2.7,Marmara Denizi - [19.95 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8369,28.4086,7,2.3,Marmara Denizi - [20.60 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8247,28.3408,7,3.2,Marmara Denizi - [24.36 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8506,28.2178,10.01,4,Marmara Denizi - [24.46 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8372,28.285,6.96,2.8,Marmara Denizi - [25.50 km] Silivri (İstanbul),Manyas Fay Zonu,15,2,2,normal (listric),38,12,0.8,0.5,600,1964,6.8,61,0.0488,0.01315789474,6.68E+17,1.183003946
2025-04-23,40.8564,28.3983,7,2.2,Marmara Denizi - [18.99 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8408,28.2517,7,2.8,Marmara Denizi - [25.21 km] Silivri (İstanbul),Kuzey Anadolu Fay Zonu Ganos Fayı,15,2,2,strike-slip,47.5,15,5,5.5,400,1912,7.4,113,0.565,0.1157894737,1.21E+19,2.021303047
2025-04-23,40.8361,28.4128,8.19,3.2,Marmara Denizi - [20.49 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8869,28.4381,7,2.5,Marmara Denizi - [14.59 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8044,28.2561,7.01,2.7,Marmara Denizi - [29.21 km] Silivri (İstanbul),Manyas Fay Zonu,15,2,2,normal (listric),38,12,0.8,0.5,600,1964,6.8,61,0.0488,0.01315789474,6.68E+17,1.183003946
2025-04-23,40.8303,28.4211,7,3.1,Marmara Denizi - [20.70 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8428,28.3878,10.08,3.5,Marmara Denizi - [20.73 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
2025-04-23,40.8211,28.3397,7,3.1,Marmara Denizi - [24.75 km] Büyükçekmece (İstanbul),Kuzey Anadolu Fay Zonu,10,2,3,strike-slip,1200,15,7.5,5,550,1999,7.4,26,0.195,0.004166666667,1.05E+20,2.648285581
